+--------+--------+---------+--------+-------+---------------+---------------+---------------+---------------+
| cust   | prod   |   month |   year |   day |   sum_1_quant |   max_1_quant |   sum_2_quant |   max_2_quant |
|--------+--------+---------+--------+-------+---------------+---------------+---------------+---------------|
| Dan    | Butter |       8 |   2019 |    27 |            91 |            91 |            91 |            91 |
| Wally  | Ice    |       5 |   2017 |    19 |           823 |           823 |           823 |           823 |
| Boo    | Fish   |       4 |   2018 |     9 |           612 |           424 |           612 |           424 |
| Claire | Butter |       4 |   2016 |    22 |           554 |           554 |           554 |           554 |
| Claire | Cherry |       7 |   2019 |    29 |           183 |           183 |           183 |           183 |
| Helen  | Butter |      10 |   2019 |    27 |           438 |           438 |           438 |           438 |
| Mia    | Eggs   |       3 |   2018 |    14 |           184 |           184 |           184 |           184 |
| Sam    | Jelly  |       6 |   2017 |    12 |           872 |           872 |           872 |           872 |
| Emily  | Fish   |       6 |   2017 |    22 |           137 |           137 |           137 |           137 |
| Emily  | Cherry |       3 |   2018 |    12 |           737 |           737 |           737 |           737 |
| Sam    | Eggs   |       9 |   2016 |     6 |           885 |           885 |           885 |           885 |
| Dan    | Fish   |       3 |   2020 |    17 |           762 |           762 |           762 |           762 |
| Dan    | Ice    |       9 |   2020 |    25 |           764 |           764 |           764 |           764 |
| Wally  | Grapes |      10 |   2017 |    15 |           693 |           693 |           693 |           693 |
| Mia    | Dates  |      12 |   2020 |     4 |           222 |           222 |           222 |           222 |
| Dan    | Grapes |      12 |   2019 |    17 |           744 |           744 |           744 |           744 |
| Emily  | Cherry |       7 |   2018 |    16 |            47 |            47 |            47 |            47 |
| Claire | Apple  |       7 |   2016 |    12 |           355 |           355 |           355 |           355 |
| Chae   | Ham    |      10 |   2016 |    27 |           490 |           490 |           490 |           490 |
| Boo    | Jelly  |      10 |   2017 |    22 |           562 |           562 |           562 |           562 |
| Emily  | Ice    |      12 |   2017 |    25 |           195 |           195 |           195 |           195 |
| Claire | Butter |       3 |   2019 |    25 |           305 |           305 |           305 |           305 |
| Dan    | Fish   |       6 |   2016 |    17 |           942 |           942 |           942 |           942 |
| Wally  | Eggs   |       5 |   2017 |     2 |           869 |           869 |           869 |           869 |
| Helen  | Ham    |       8 |   2019 |     6 |            15 |            15 |            15 |            15 |
| Helen  | Dates  |       3 |   2020 |    25 |           831 |           831 |           831 |           831 |
| Claire | Eggs   |       2 |   2016 |    22 |           876 |           876 |           876 |           876 |
| Dan    | Dates  |       9 |   2017 |     3 |           789 |           458 |           789 |           458 |
| Claire | Jelly  |       2 |   2020 |     8 |           315 |           315 |           315 |           315 |
| Boo    | Ham    |       6 |   2019 |    24 |           676 |           676 |           676 |           676 |
| Mia    | Grapes |       3 |   2019 |    27 |           539 |           539 |           539 |           539 |
| Boo    | Ham    |      10 |   2020 |    25 |           328 |           328 |           328 |           328 |
| Dan    | Apple  |      11 |   2017 |    25 |           937 |           937 |           937 |           937 |
| Sam    | Ice    |       1 |   2019 |     3 |           928 |           928 |           928 |           928 |
| Boo    | Cherry |       8 |   2020 |     3 |           936 |           936 |           936 |           936 |
| Dan    | Butter |       4 |   2016 |    19 |           190 |           190 |           190 |           190 |
| Sam    | Jelly  |       8 |   2017 |     9 |           807 |           807 |           807 |           807 |
| Wally  | Fish   |      10 |   2018 |     9 |           637 |           637 |           637 |           637 |
| Wally  | Fish   |      12 |   2020 |     5 |           550 |           550 |           550 |           550 |
| Chae   | Ice    |       9 |   2019 |    11 |           844 |           844 |           844 |           844 |
| Mia    | Cherry |      11 |   2019 |     3 |           778 |           778 |           778 |           778 |
| Emily  | Cherry |       3 |   2016 |    14 |           697 |           697 |           697 |           697 |
| Mia    | Ham    |       1 |   2016 |     7 |           873 |           873 |           873 |           873 |
| Mia    | Ham    |       2 |   2020 |    15 |           806 |           806 |           806 |           806 |
| Mia    | Jelly  |      12 |   2018 |    30 |           583 |           295 |           583 |           295 |
| Emily  | Grapes |       9 |   2020 |    28 |           462 |           462 |           462 |           462 |
| Dan    | Butter |       1 |   2017 |    31 |           561 |           561 |           561 |           561 |
| Claire | Apple  |      10 |   2019 |    17 |           568 |           568 |           568 |           568 |
| Sam    | Butter |       2 |   2017 |    12 |           220 |           220 |           220 |           220 |
| Wally  | Dates  |       4 |   2018 |    20 |           812 |           812 |           812 |           812 |
| Wally  | Butter |       1 |   2017 |    31 |            45 |            45 |            45 |            45 |
| Sam    | Butter |       7 |   2017 |    13 |           873 |           873 |           873 |           873 |
| Dan    | Grapes |      11 |   2018 |    28 |          1268 |           823 |          1268 |           823 |
| Dan    | Ice    |       7 |   2020 |    29 |           809 |           809 |           809 |           809 |
| Claire | Butter |       9 |   2016 |     6 |           214 |           214 |           214 |           214 |
| Claire | Grapes |       7 |   2020 |    22 |           325 |           325 |           325 |           325 |
| Boo    | Grapes |       3 |   2018 |     6 |           784 |           784 |           784 |           784 |
| Sam    | Apple  |       9 |   2019 |    11 |           608 |           608 |           608 |           608 |
| Sam    | Ham    |      11 |   2018 |    23 |           551 |           551 |           551 |           551 |
| Boo    | Eggs   |       1 |   2019 |    27 |           761 |           761 |           761 |           761 |
| Helen  | Ice    |      12 |   2017 |    14 |            60 |            60 |            60 |            60 |
| Emily  | Ham    |       6 |   2020 |    18 |           434 |           434 |           434 |           434 |
| Claire | Jelly  |       8 |   2017 |     6 |           553 |           553 |           553 |           553 |
| Mia    | Cherry |       6 |   2017 |     5 |           559 |           559 |           559 |           559 |
| Claire | Grapes |       1 |   2018 |    24 |           213 |           213 |           213 |           213 |
| Helen  | Apple  |       1 |   2016 |    30 |           966 |           966 |           966 |           966 |
| Boo    | Apple  |       6 |   2017 |    26 |           171 |           171 |           171 |           171 |
| Sam    | Dates  |      12 |   2018 |    24 |           532 |           532 |           532 |           532 |
| Helen  | Jelly  |      10 |   2019 |    14 |            12 |            12 |            12 |            12 |
| Sam    | Jelly  |       6 |   2018 |    30 |           677 |           677 |           677 |           677 |
| Sam    | Eggs   |       1 |   2018 |    23 |           835 |           835 |           835 |           835 |
| Chae   | Butter |      10 |   2016 |    20 |            39 |            39 |            39 |            39 |
| Claire | Cherry |       5 |   2018 |    22 |           975 |           975 |           975 |           975 |
| Emily  | Eggs   |       5 |   2017 |    14 |           256 |           256 |           256 |           256 |
| Wally  | Dates  |       9 |   2016 |    27 |           100 |           100 |           100 |           100 |
