+--------+--------+---------+--------+-------+---------------+---------------+---------------+---------------+-----------------+-----------------+
| cust   | prod   |   month |   year |   day |   sum_1_quant |   max_1_quant |   sum_2_quant |   max_2_quant |   count_1_quant |   count_2_quant |
|--------+--------+---------+--------+-------+---------------+---------------+---------------+---------------+-----------------+-----------------|
| Dan    | Ham    |       6 |   2016 |    17 |           825 |           825 |           825 |           825 |               1 |               1 |
| Claire | Fish   |      11 |   2016 |    28 |            84 |            84 |            84 |            84 |               1 |               1 |
| Dan    | Apple  |      11 |   2017 |    12 |           973 |           973 |           973 |           973 |               1 |               1 |
| Chae   | Jelly  |      10 |   2016 |    13 |           756 |           756 |           756 |           756 |               1 |               1 |
| Chae   | Ham    |       4 |   2017 |    11 |           464 |           464 |           464 |           464 |               1 |               1 |
| Mia    | Fish   |       9 |   2017 |    25 |            56 |            56 |            56 |            56 |               1 |               1 |
| Mia    | Dates  |       7 |   2018 |    15 |           523 |           523 |           523 |           523 |               1 |               1 |
| Claire | Fish   |      11 |   2018 |    26 |           763 |           763 |           763 |           763 |               1 |               1 |
| Dan    | Butter |       2 |   2018 |     4 |           419 |           419 |           419 |           419 |               1 |               1 |
| Sam    | Jelly  |       7 |   2020 |     5 |           156 |           156 |           156 |           156 |               1 |               1 |
| Wally  | Cherry |       4 |   2020 |     3 |           664 |           664 |           664 |           664 |               1 |               1 |
| Chae   | Apple  |      12 |   2017 |     2 |           567 |           567 |           567 |           567 |               1 |               1 |
| Helen  | Butter |       7 |   2020 |    28 |           337 |           337 |           337 |           337 |               1 |               1 |
| Chae   | Eggs   |       2 |   2018 |     2 |           665 |           665 |           665 |           665 |               1 |               1 |
| Wally  | Cherry |       5 |   2017 |    29 |           738 |           738 |           738 |           738 |               1 |               1 |
| Dan    | Dates  |       5 |   2019 |    31 |           484 |           484 |           484 |           484 |               1 |               1 |
| Chae   | Dates  |       6 |   2020 |    17 |           584 |           584 |           584 |           584 |               1 |               1 |
| Dan    | Grapes |       9 |   2018 |    11 |           966 |           966 |           966 |           966 |               1 |               1 |
| Wally  | Ham    |      10 |   2018 |    18 |           461 |           461 |           461 |           461 |               1 |               1 |
| Helen  | Ham    |      11 |   2019 |    15 |           392 |           392 |           392 |           392 |               1 |               1 |
| Helen  | Grapes |      12 |   2018 |    10 |           545 |           545 |           545 |           545 |               1 |               1 |
| Claire | Grapes |      10 |   2017 |     1 |           477 |           477 |           477 |           477 |               1 |               1 |
| Helen  | Ham    |       8 |   2017 |    24 |           826 |           826 |           826 |           826 |               1 |               1 |
| Helen  | Cherry |       6 |   2018 |    30 |           226 |           226 |           226 |           226 |               1 |               1 |
| Emily  | Cherry |       1 |   2018 |    22 |           306 |           306 |           306 |           306 |               1 |               1 |
| Dan    | Fish   |      12 |   2017 |     1 |           184 |           184 |           184 |           184 |               1 |               1 |
| Sam    | Ham    |       3 |   2018 |    29 |          1198 |           735 |          1198 |           735 |               2 |               2 |
